contributor,title,year,venue,doi_or_url,file_name,evidence_type(primary|secondary),dashboard_claim
Dylan Bane; Salvador Gala,State of DePIN 2025,2025,Messari,,Bane_Gala_2025_StateOfDePIN.pdf,secondary,Sector baselines and comparative market context for DePIN stress assumptions.
Messari,Crypto Theses 2026,2026,Messari,,Messari_2026_CryptoTheses.pdf,secondary,Top-down market narrative and macro scenario background.
Shermin Voshmgir,Token Economy (Third Edition),2025,Book,https://token.kitchen/token-economy/third-edition,Voshmgir_2025_TokenEconomyThirdEdition.pdf,secondary,Token design concepts and governance/token taxonomy background.
Zishan Ashraf Mohammad; Joachim Bauer,Token Design Strategies for Entrepreneurial Crypto Projects: A Systematic Literature Review,2025,Integrative literature review,,Mohammad_Bauer_2025_TokenDesignStrategiesSystematicLiteratureReview.pdf,secondary,Broad tokenomics strategy landscape and design-pattern context.
Zhibin Lin; Taotao Wang; Long Shi; Shengli Zhang; Bin Cao,Decentralized Physical Infrastructure Network (DePIN): Challenges and Opportunities,2024,arXiv,https://arxiv.org/abs/2406.02239,Lin_Wang_Shi_Zhang_Cao_2024_DePINChallengesAndOpportunities.pdf,secondary,"DePIN architecture, challenges, and open-risk framing."
onocoy Association,ONOCOY: Enabling Mass Adoption of High Precision GNSS Positioning Using Web3 (White Paper Revision 3.0.1),2025,onocoy White Paper,,onocoy_whitepaper_301.pdf,primary,"Case-study ground truth for token model, rewards logic, governance design, and validator architecture."
onocoy Documentation,Onocoy Documentation: Tokenomics,2026,Onocoy Docs,https://docs.onocoy.com/documentation/tokenomics,,primary,"Current tokenomics parameters, supply cap, and governance process details."
onocoy Documentation,Onocoy Documentation: Location Scale,2026,Onocoy Docs,https://docs.onocoy.com/documentation/mining-rewards-breakdown/location-scale,,primary,Spatial penalty logic and distance-based reward reduction inputs.
onocoy Documentation,Onocoy Documentation: Quality Scale,2026,Onocoy Docs,https://docs.onocoy.com/documentation/mining-rewards-breakdown/quality-scale,,primary,"Measurement quality metrics, weighting, and quality-dependent reward inputs."
onocoy Documentation,Onocoy Documentation: Service Levels,2026,Onocoy Docs,https://docs.onocoy.com/documentation/service-levels,,primary,Data-credit pricing assumptions for demand and revenue stress tests.
onocoy Documentation,Onocoy Documentation: Trading $ONO,2026,Onocoy Docs,https://docs.onocoy.com/documentation/trading-usdono,,primary,Token identifiers and chain-level trading references.
onocoy Documentation,Onocoy Documentation: Swapping BONO to ONO,2026,Onocoy Docs,https://docs.onocoy.com/documentation/swapping-bono-to-ono,,primary,Migration conversion and unlock mechanics for supply-shock scenarios.
onocoy Documentation,Onocoy Documentation: DAO and Voting,2026,Onocoy Docs,https://docs.onocoy.com/documentation/7.-governance-and-community/dao-and-voting,,primary,Governance structure and voting methodology for governance-risk indicators.
Dune / onocoy dashboard,Onocoy Dune Dashboard,2026,Dune,https://dune.com/onocoy/dashboard,,secondary,"Live/near-live operational KPIs (burn, streams, revenue, active users) when export access is available."
onocoy Documentation,Onocoy Documentation: Getting Data Credits,2026,Onocoy Docs,https://docs.onocoy.com/documentation/4.-get-gnss-corrections/getting-data-credits,,primary,Data-credit pricing mechanics (base + pay-per-use) and billing flow assumptions for demand/revenue calibration.
onocoy Documentation,Onocoy Documentation: Setting of the Credentials,2026,Onocoy Docs,https://docs.onocoy.com/documentation/4.-get-gnss-corrections/setting-of-the-credentials,,primary,Credential activation and 30-day plan deduction mechanics for operational pricing assumptions.
onocoy Documentation,Onocoy Documentation: Top Miner Questions (FAQ),2026,Onocoy Docs,https://docs.onocoy.com/documentation/8.-faq-troubleshooting/frequently-asked-questions,,primary,"Operational risk controls: fraud/slashing, latency thresholds, and sell-pressure mitigation mechanisms."
onocoy Documentation,Onocoy Documentation: Availability Scale,2026,Onocoy Docs,https://docs.onocoy.com/documentation/mining-rewards-breakdown/availability-scale,,primary,Uptime/data-rate reward factor specification for provider-performance and churn-risk modeling.
Unknown (provided by user),Onocoy Protocol: Exhaustive Due Diligence and Thesis Defensibility Report,2026,Checklist/Report (source document provided by user),,Onocoy_2026_ExhaustiveDueDiligenceAndThesisDefensibilityReport.pdf,secondary,Useful synthesis and lead-generation for KPIs/addresses/query logic; requires primary-source verification before thesis-critical claims.
onocoy Blog,onocoy 2025 Year in Review: From TGE to Global GNSS Leadership,2026,onocoy Blog,https://onocoy.com/blog/onocoy-2025-year-in-review-from-tge-to-global-gnss-leadership,,secondary,"Project-published annual KPI narrative (stations, buybacks/burns, B2B milestone claims) used as directional evidence."
onocoy Blog,Introducing Streak Appreciation: Because Reliability Deserves Reward,2025,onocoy Blog,https://onocoy.com/blog/introducing-streak-appreciation-because-reliability-deserves-reward,,secondary,Project-published explanation of streak incentive mechanics and reliability framing.
onocoy Blog,Your Guide to Understanding the $ONO Token,2026,onocoy Blog,https://onocoy.com/blog/your-guide-to-understanding-the-ono-token,,secondary,Project-authored tokenomics/legal framing narrative including buyback-burn rationale under Swiss association structure.
Unknown (provided by user),Onocoy Tokenomics Audit: Downside Resilience Solvency Analysis and Evidentiary Gap Assessment,2026,User-provided research draft,,Onocoy_2026_TokenomicsAudit_DownsideResilience_EvidentiaryGapAssessment.docx,secondary,Useful synthesis draft; contains strong framing but requires primary-source backfilling before thesis-critical use.
Andrew J. Collins; Matthew Koehler; Christopher J. Lynch,Methods That Support the Validation of Agent-Based Models: An Overview and Discussion,2024,Methodology paper,,Collins_Koehler_Lynch_2024_MethodsThatSupportTheValidationOfAgentBasedModels_OverviewAndDiscussion.pdf,secondary,Validation methods and credibility checks for agent-based model development and testing workflows.
Tim P Morris; Ian R White; Michael J Crowther,Using simulation studies to evaluate statistical methods,,Tutorial in Biostatistics,,Morris_White_Crowther_UsingSimulationStudiesToEvaluateStatisticalMethods.pdf,secondary,Design principles for simulation studies used to evaluate estimator performance and methodological robustness.
Sietse Braakman; Pras Pathmanathan; Helen Moore,Evaluation Framework for Systems Models,2022,CPT: Pharmacometrics & Systems Pharmacology,https://doi.org/10.1002/PSP4.12755,Braakman_Pathmanathan_2022_EvaluationFrameworkForSystemsModels.pdf,secondary,"Structured evaluation framework for systems models spanning verification, validation, and decision fit-for-purpose."
Stephen Gow,Uncertainty quantification and propagation through complex chains of computational models,2021,PhD Thesis (University of Southampton),,Gow_2021_UncertaintyQuantificationAndPropagationThroughComplexChainsOfComputationalModels.pdf,secondary,Methods for uncertainty quantification and propagation across linked computational model pipelines.
Akeem Suliyat Bolaji; et al.,Assessing Model Validation Metrics in Experimental Solid Mechanics,2025,Experimental Solid Mechanics (preprint/manuscript),,Bolaji_etal_2025_AssessingModelValidationMetricsInExperimentalSolidMechanics.pdf,secondary,Comparison and interpretation of model-validation metrics to improve evidence quality in model assessment studies.
Joaquin Delgado Fernandez; Tom Barbereau; Orestis Papageorgiou,Agent-Based Model of Initial Token Allocations: Evaluating Wealth Concentration in Fair Launches,2022,arXiv,https://arxiv.org/abs/2208.10271,DelgadoFernandez_Barbereau_Papageorgiou_2022_AgentBasedModelOfInitialTokenAllocations_WealthConcentrationInFairLaunches.pdf,secondary,Agent-based analysis of governance token allocation schemes and resulting wealth concentration outcomes.
Kiran Karra; Tom Mellan; Maria Silva; Juan P. Madrigal-Cianci; Axel Cubero Cortes; Zixuan Zhang,An Agent-Based Model Framework for Utility-Based Cryptoeconomies,2023,arXiv,https://arxiv.org/abs/2307.15200,Karra_Mellan_Silva_MadrigalCianci_CuberoCortes_Zhang_2023_AgentBasedModelFrameworkForUtilityBasedCryptoeconomies.pdf,secondary,Framework for simulation of utility-based cryptoeconomies using autonomous agent behavior and token dynamics.
Josie McCulloch; Jiaqi Ge; Jonathan A. Ward; Alison Heppenstall; J. Gareth Polhill; Nick Malleson,Calibrating Agent-Based Models using Uncertainty Quantification Methods,2022,JASSS 25(2)1,https://www.jasss.org/25/2/1.html,McCulloch_Ge_Ward_Heppenstall_Polhill_Malleson_2022_CalibratingAgentBasedModelsUsingUncertaintyQuantificationMethods.pdf,secondary,Practical methods for ABM calibration with uncertainty quantification to improve parameter credibility.
Ian Appel; Jillian Grennan,Decentralized Governance and Digital Asset Prices,2024,Working paper,,Appel_Grennan_2024_DecentralizedGovernanceAndDigitalAssetPrices.pdf,secondary,Empirical link between DAO governance design characteristics and digital-asset pricing outcomes.
Marko Corn; Anze Murko; Primoz Podrzaj,Decentralized Physical Infrastructure Networks (DePIN) for Solar Energy: The Impact of Network Density on Forecasting Accuracy and Economic Viability,2025,Preprints.org,https://doi.org/10.20944/preprints202511.0229.v1,Corn_Murko_Podrzaj_2025_DePINForSolarEnergy_ImpactOfNetworkDensityOnForecastingAccuracyAndEconomicViability.pdf,secondary,Domain DePIN case study linking node density to predictive performance and economic viability.
Samela Kivilo; Alex Norta; Marie Hattingh; Sowelu Avanzo; Luca Pennella,"Designing a Token Economy: Incentives, Governance, and Tokenomics",2026,Blockchain: Research and Applications,https://arxiv.org/abs/2602.09608,Kivilo_Norta_Hattingh_Avanzo_Pennella_2026_DesigningATokenEconomy_IncentivesGovernanceAndTokenomics.pdf,secondary,"Integrated treatment of incentives, governance, and tokenomics design choices for blockchain economies."
Philip Daian; Steven Goldfeder; Tyler Kell; Yunqi Li; Xueyuan Zhao; Iddo Bentov; Lorenz Breidenbach; Ari Juels,"Flash Boys 2.0: Frontrunning, Transaction Reordering, and Consensus Instability in Decentralized Exchanges",2019,IEEE Symposium on Security and Privacy / arXiv,https://arxiv.org/abs/1904.05234,Daian_etal_2019_FlashBoys2_FrontrunningTransactionReorderingAndConsensusInstabilityInDEXs.pdf,secondary,Foundational analysis of MEV-style transaction reordering risks and market integrity implications.
Lin William Cong; Daniel Rabetti; Charles C. Y. Wang; Yu Yan,Centralized Governance in Decentralized Organizations,2025,Working paper,,Cong_Rabetti_Wang_Yan_2025_CentralizedGovernanceInDecentralizedOrganizations.pdf,secondary,Quantifies de-facto governance concentration in DAOs and its economic implications.
Mengjue Wang; Stylianos Kampakis,Modeling Speculative Trading Patterns in Token Markets: An Agent-Based Analysis with TokenLab,2024,arXiv,https://arxiv.org/abs/2412.07512,Wang_Kampakis_2024_ModelingSpeculativeTradingPatternsInTokenMarkets_AgentBasedAnalysisWithTokenLab.pdf,secondary,ABM-based treatment of speculative behavior and price dynamics in token markets.
Nicolas Oderbolz; Beatrix Marosvolgyi; Matthias Hafner,"Towards an Optimal Staking Design: Balancing Security, User Growth, and Token Appreciation",2024,arXiv,https://arxiv.org/abs/2405.14617,Oderbolz_Marosvolgyi_Hafner_2024_TowardsAnOptimalStakingDesign_BalancingSecurityUserGrowthAndTokenAppreciation.pdf,secondary,"Tradeoff analysis for staking-parameter design across security, adoption growth, and token valuation."
Shiyu Zhang; Zining Wang; Jin Zheng; John Cartlidge,Systemic Risk in DeFi: A Network-Based Fragility Analysis of TVL Dynamics,2026,arXiv,https://arxiv.org/abs/2601.08540,Zhang_Wang_Zheng_Cartlidge_2026_SystemicRiskInDeFi_NetworkBasedFragilityAnalysisOfTVLDynamics.pdf,secondary,Network fragility framing for contagion/systemic stress in interconnected DeFi ecosystems.
Hanna Halaburda; Guillaume Haeringer; Joshua Gans; Neil Gandal,The Microeconomics of Cryptocurrencies,2021,CESifo Working Paper,https://ssrn.com/abstract=3772082,Halaburda_Haeringer_Gans_Gandal_2021_TheMicroeconomicsOfCryptocurrencies.pdf,secondary,"Microeconomic primitives for cryptocurrency adoption, demand, and market equilibrium behavior."
Jorge Soria Ruiz-Ogarrio; Jorge Moya Velasco; Carlos Estevez-Mendoza,The road to decentralization: Optimal coverage on Decentralized Physical Infrastructure Networks (DePIN),2026,Finance Research Letters,https://doi.org/10.1016/j.frl.2025.109115,SoriaRuizOgarrio_MoyaVelasco_EstevezMendoza_2026_TheRoadToDecentralization_OptimalCoverageOnDePIN.pdf,secondary,Coverage optimization framing for DePIN deployment economics and network expansion strategy.
Junjie Ma; Muhui Jiang; Jinan Jiang; Xiapu Luo; Yufeng Hu; Yajin Zhou; Qi Wang; Fengwei Zhang,Understanding Security Issues in the DAO Governance Process,2025,IEEE Transactions on Software Engineering,,Ma_Jiang_Jiang_Luo_Hu_Zhou_Wang_Zhang_2025_UnderstandingSecurityIssuesInDAOGovernanceProcess.pdf,secondary,Systematic mapping of DAO governance attack surfaces and security failure modes.
Qin Wang; Guangsheng Yu; Yilin Sai; Caijun Sun; Lam Duc Nguyen; Shiping Chen,Understanding DAOs: An Empirical Study on Governance Dynamics,2025,IEEE Transactions on Computational Social Systems,https://doi.org/10.1109/TCSS.2025.3539889,Wang_Yu_Sai_Sun_Nguyen_Chen_2025_UnderstandingDAOs_AnEmpiricalStudyOnGovernanceDynamics.pdf,secondary,"Empirical study of DAO participation, proposal behavior, and governance dynamics at scale."
Zehua Cheng; Wei Dai; Zhipeng Wang; Rui Sun; Nick Wen; Jiahao Sun,A Control Theoretic Approach to Decentralized AI Economy Stabilization via Dynamic Buyback-and-Burn Mechanisms,2026,arXiv,https://arxiv.org/abs/2601.09961,Cheng_Dai_Wang_Sun_Wen_Sun_2026_ControlTheoreticApproachToDecentralizedAIEconomyStabilizationViaDynamicBuybackAndBurnMechanisms.pdf,secondary,Control-theoretic tokenomics for stabilizing decentralized AI economies via dynamic buyback-and-burn policy feedback loops.
Narayan Khatri; Sihyung Lee; Seung Yeob Nam,Sybil Attack-Resistant Blockchain-Based Proof-of-Location Mechanism with Privacy Protection in VANET,2024,Sensors (MDPI),https://doi.org/10.3390/s24248140,Khatri_Lee_Nam_2024_SybilAttackResistantBlockchainBasedProofOfLocationMechanismWithPrivacyProtectionInVANET.pdf,secondary,Proof-of-location design with Sybil resistance and privacy protections relevant for location-verification incentives in DePIN-like systems.
Chidiebere Joshua; Randa I. Abdellatif,The Resilience of Decentralized Capital: Miner Economics and Hash-Rate Dynamics During Pandemic-Induced Hardware Supply Chain Disruptions,2024,Research draft / preprint,,Joshua_Abdellatif_2024_ResilienceOfDecentralizedCapital_MinerEconomicsAndHashRateDynamicsDuringHardwareSupplyChainDisruptions.pdf,secondary,Descriptive analysis of mining-economics resilience under ASIC hardware supply shocks; useful as directional evidence pending source hardening.
Furqan Md Rasel; Jordan Smith,Token Emission Methodology (v2.3.5): A Comparative Study of Real-Time and Batch Claims Adjudication Models,2025,Research draft,,Rasel_Smith_2025_TokenEmissionMethodology_ComparativeStudyOfRealTimeAndBatchClaimsAdjudicationModels.pdf,secondary,"Compares real-time versus batch claims adjudication in token emission control, highlighting latency-accuracy-cost tradeoffs."
Clara Filosa; Marin Jovanovic; Lara Agostini; Anna Nosella,Pivoting B2B platform business models: From platform experimentation to multi-platform integration to ecosystem envelopment,2024,International Journal of Production Economics,https://doi.org/10.1016/j.ijpe.2024.109466,Filosa_Jovanovic_Agostini_Nosella_2024_PivotingB2BPlatformBusinessModels_FromExperimentationToEcosystemEnvelopment.pdf,secondary,"Platform-evolution patterns for B2B ecosystems, relevant for DePIN business-model transition and revenue-layer design."
Francesco Maria De Collibus; Carlo Campajola; Claudio J. Tessone,The microvelocity of money in Ethereum,2025,EPJ Data Science,https://doi.org/10.1140/epjds/s13688-024-00518-6,DeCollibus_Campajola_Tessone_2025_TheMicrovelocityOfMoneyInEthereum.pdf,secondary,"Empirical velocity-of-money analysis on Ethereum, useful for token-circulation and demand-side stress assumptions."
Alfonso Martinez-Echevarria y Garcia de Duenas; Rafael del Castillo Ionov,Utility Tokens and Their Regulation Under MiCA,2025,Book chapter (Springer),https://doi.org/10.1007/978-3-031-74889-9_10,MartinezEchevarria_DelCastillo_2025_UtilityTokensAndTheirRegulationUnderMiCA.pdf,secondary,Regulatory framing for utility-token issuance and compliance constraints under MiCA relevant to token design assumptions.
Gholamreza Ramezan; Ehsan Meamari,zk-IoT: Securing the Internet of Things with Zero-Knowledge Proofs on Blockchain Platforms,2024,arXiv,https://arxiv.org/abs/2402.08322,Ramezan_Meamari_2024_zkIoT_SecuringIoTWithZeroKnowledgeProofsOnBlockchainPlatforms.pdf,secondary,"Security architecture for device integrity and trust using ZK proofs, potentially applicable to DePIN telemetry assurance."
Unknown,Decentralized Physical Infrastructure Networks (DePIN): A Blockchain-Based Paradigm for the Physical World Infrastructures,,Web explainer / article,,Unknown_YearTBD_DecentralizedPhysicalInfrastructureNetworks_BlockchainBasedParadigmForPhysicalWorldInfrastructures.pdf,secondary,High-level explainer of DePIN concept and blockchain-to-physical infrastructure framing; useful only as background context.
Lily.L,Mapping DePIN Tokenomics to Business Models,2026,Medium,https://medium.com/@LiesiL/mapping-dtokenomics-to-business-models-d205dc8ce9ed,LilyL_2026_MappingDePINTokenomicsToBusinessModels.pdf,secondary,Practitioner synthesis mapping tokenomic patterns to business-model archetypes; directional secondary context.
Marko Corn; Anze Murko; Primoz Podrzaj,Decentralized Physical Infrastructure Networks (DePINs) for Solar Energy: The Impact of Network Density on Forecasting Accuracy and Economic Viability,2025,Forecasting (MDPI),https://doi.org/10.3390/forecast7040077,Corn_Murko_Podrzaj_2025_DePINsForSolarEnergy_ImpactOfNetworkDensityOnForecastingAccuracyAndEconomicViability_Forecasting.pdf,secondary,Peer-reviewed version of DePIN-for-solar network-density analysis with forecasting and economic viability emphasis.
Junjie Ma; Muhui Jiang; Jinan Jiang; Xiapu Luo; Yufeng Hu; Yajin Zhou; Qi Wang; Fengwei Zhang,Demystifying the DAO Governance Process,2024,arXiv,https://arxiv.org/abs/2403.11758,Ma_etal_2024_DemystifyingTheDAOGovernanceProcess.pdf,secondary,"Structured analysis of DAO governance workflow and attack surfaces across proposal, voting, and execution stages."
Silvio Meneguzzo; Claudio Schifanella; Valentina Gatteschi; Giuseppe Destefanis,Evaluating DAO Sustainability and Longevity Through On-Chain Governance Metrics,2025,arXiv,https://arxiv.org/abs/2504.11341,Meneguzzo_Schifanella_Gatteschi_Destefanis_2025_EvaluatingDAOSustainabilityAndLongevityThroughOnChainGovernanceMetrics.pdf,secondary,"KPI-based framework for DAO sustainability evaluation via participation, treasury robustness, and governance structure signals."
Jason Milionis; Jens Ernstberger; Joseph Bonneau; Scott Duke Kominers; Tim Roughgarden,"Incentive-Compatible Recovery from Manipulated Signals, with Applications to Decentralized Physical Infrastructure",2025,arXiv,https://arxiv.org/abs/2503.07558,Milionis_Ernstberger_Bonneau_Kominers_Roughgarden_2025_IncentiveCompatibleRecoveryFromManipulatedSignals_WithApplicationsToDePIN.pdf,secondary,Formal mechanism-design treatment of manipulated signal recovery with direct applicability to DePIN data integrity incentives.
Oghenekaro Elem; Nimrod Talmon,Legitimate Overrides in Decentralized Protocols,2026,arXiv,https://arxiv.org/abs/2602.12260,Elem_Talmon_2026_LegitimateOverridesInDecentralizedProtocols.pdf,secondary,Governance and protocol-design analysis of emergency intervention mechanisms and legitimacy trade-offs in decentralized systems.
Silvio Meneguzzo; Claudio Schifanella; Valentina Gatteschi; Giuseppe Destefanis,Operationalising DAO Sustainability KPIs: A Multi-Chain Dashboard for Governance Analytics,2026,arXiv,https://arxiv.org/abs/2601.14927,Meneguzzo_Schifanella_Gatteschi_Destefanis_2026_OperationalisingDAOSustainabilityKPIs_AMultiChainDashboardForGovernanceAnalytics.pdf,secondary,Implementation-focused multi-chain KPI dashboard for DAO governance sustainability monitoring and comparative analytics.
Prapti Sharma,"Building the Real World Web: How Solana Powers the DePIN Revolution",2025,Medium,https://medium.com/@praptii/building-the-real-world-web-how-solana-powers-the-depin-revolution-ba2c5f9e93cb,Sharma_2025_BuildingTheRealWorldWeb_HowSolanaPowersTheDePINRevolution_Medium.pdf,secondary,"Practitioner perspective on Solana's DePIN positioning and ecosystem momentum; useful for contextual market framing."
Mark C. Ballandies,"Chain selection for a decentralized physical infrastructure network (DePIN)",2023,WiHi - Weather (Medium),https://medium.com/wihi-weather/chain-selection-for-a-decentralized-physical-infrastructure-network-depin-bf1c646d9330,Ballandies_2023_ChainSelectionForDecentralizedPhysicalInfrastructureNetworkDePIN_Medium.pdf,secondary,"Discussion of chain-selection tradeoffs for DePIN deployments, including scalability and ecosystem compatibility considerations."
Helium Core Developers,"HIP-70: Scaling the Helium Network",2022,Helium Improvement Proposal (HIP),https://github.com/helium/HIP/pull/470,HeliumCoreDevelopers_2022_HIP70_ScalingTheHeliumNetwork.md,primary,"Primary governance proposal detailing Helium's oracle-based scaling design and migration rationale to Solana."
